"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
NA,160,157,171,NA,NA,NA,NA,NA,NA
NA,160,157,171,NA,NA,NA,NA,NA,NA
NA,160,157,171,NA,NA,NA,NA,NA,NA
NA,160,157,171,NA,NA,NA,NA,NA,NA
NA,160,157,171,NA,NA,NA,NA,NA,NA
NA,160,157,171,NA,NA,NA,NA,NA,NA
NA,160,157,171,NA,NA,NA,NA,NA,NA
NA,160,157,171,NA,NA,NA,NA,NA,NA
NA,160,157,171,NA,NA,NA,NA,NA,NA
NA,160,157,171,NA,NA,NA,NA,NA,NA
NA,160,157,171,NA,NA,NA,NA,NA,NA
NA,160,157,171,NA,NA,NA,NA,NA,NA
NA,160,157,171,NA,NA,NA,NA,NA,NA
NA,160,157,171,NA,NA,NA,NA,NA,NA
NA,160,157,171,NA,NA,NA,NA,NA,NA
NA,160,157,171,NA,NA,NA,NA,NA,NA
NA,160,157,171,NA,NA,NA,NA,NA,NA
NA,160,157,NA,NA,NA,NA,NA,NA,NA
NA,160,157,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
NA,NA,NA,NA,NA,NA,162,NA,171,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
NA,NA,NA,NA,165,NA,162,NA,171,NA
